"Did you influence by your friends?","Do you have any drug addict  friend?","Do you feel alone?","Are you frustrate with you wage","Are you even been harassed in your work place","Are you satisfied with your present job","Are you neglected by your family or relative?","Are you frustrated for your interpersonal relationship?","Most of time do you suffer mental sickness?","Forth commingles is the couse of taking drugs?","Did you take drug without knowledge the side effect of drug?","Poor result is the causes for taking drug?","Excessive money is the causes for taking drug?","Did you take drug for curiosity?","Did you influence by family member habit?","Are you satisfy with your family status?","Is drug give you more confidence?","Before you got addicted,did  you start with  smoking?","response"
1,1,1,0,0,1,0,1,1,0,1,0,1,1,0,1,1,1,1
0,0,1,1,1,1,0,1,1,0,1,0,0,1,1,1,0,0,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
1,1,1,0,0,1,1,0,0,1,1,0,0,1,0,1,0,1,1
1,1,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1,1,0
0,1,0,0,0,1,0,0,0,1,0,1,0,1,1,1,0,1,0
1,1,1,1,1,0,0,1,1,0,0,1,0,0,1,0,1,0,1
0,1,0,0,0,1,0,1,0,1,1,1,1,0,0,1,1,1,1
1,1,1,0,0,1,0,1,0,1,1,1,0,0,1,1,0,1,1
1,1,0,0,1,0,1,1,1,1,1,1,0,1,0,1,1,0,1
1,1,1,0,0,0,1,0,1,1,1,1,0,1,0,1,0,1,1
1,1,1,1,0,0,0,1,1,0,1,0,1,1,1,0,1,0,1
1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,1,0,1,1
1,1,1,0,0,0,0,0,1,1,1,1,1,1,0,1,0,1,1
1,1,1,1,0,1,1,0,1,1,1,1,1,1,0,1,0,1,1
1,1,1,0,0,0,1,1,1,1,1,1,0,1,1,1,1,1,1
1,0,0,1,1,0,1,1,1,1,1,0,0,1,0,0,1,1,1
1,0,0,1,0,0,1,0,0,0,1,1,0,0,0,1,1,0,0
1,1,1,1,0,0,0,0,1,1,1,1,0,1,1,1,1,1,1
1,0,0,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0
1,1,1,0,0,1,0,0,0,1,1,1,1,1,0,1,0,1,1
0,1,1,0,1,0,0,1,0,1,1,0,1,1,0,1,0,1,1
1,1,0,0,0,1,0,0,0,1,1,0,1,1,0,1,0,1,0
0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,1,0
0,0,0,0,0,1,0,0,0,1,1,1,1,1,0,0,1,1,0
0,1,1,1,1,1,1,0,1,1,1,0,0,1,1,0,1,1,1
1,1,0,0,1,0,1,0,0,1,1,0,1,1,1,0,1,1,1
1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,0,1,0,1
1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1
0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0
0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,0,1,1,0
1,1,1,1,1,1,0,0,0,1,1,0,0,1,0,1,1,1,1
1,1,0,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1
1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,1,1,1,1
1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1,1,1,1
1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1
1,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1,0,1,1
0,1,1,1,1,0,1,1,1,0,0,0,1,1,0,1,1,1,1
1,1,1,0,0,1,1,1,0,1,0,0,1,1,0,1,1,1,1
0,1,0,1,0,0,0,0,1,0,0,0,1,1,0,1,1,1,0
1,1,1,0,1,1,0,1,0,1,0,0,1,1,1,1,1,1,1
0,1,1,0,1,0,1,1,0,1,0,0,1,1,1,1,1,1,1
1,1,1,0,0,0,1,1,1,1,0,1,1,1,0,1,1,1,1
1,1,1,0,0,0,1,1,1,1,0,1,0,1,0,1,1,1,1
1,1,1,0,0,0,1,1,0,1,1,0,1,1,0,1,1,1,1
1,1,1,1,1,0,1,1,0,0,1,0,1,1,0,1,1,1,1
1,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,1,1,1
1,1,0,0,0,1,1,1,1,0,1,0,1,1,0,1,1,1,1
1,1,1,0,0,1,0,1,1,1,1,1,0,1,0,1,1,1,1
1,1,0,0,0,1,1,1,0,1,0,0,1,1,1,1,1,1,1
1,1,0,0,0,1,0,1,0,1,1,0,1,1,1,1,0,0,1
1,1,1,1,1,0,1,1,0,1,1,0,0,1,0,1,1,1,1
1,1,0,0,0,1,0,1,0,1,1,0,1,0,0,1,0,1,0
1,1,0,1,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1
0,1,1,0,0,0,0,1,0,1,1,1,0,1,1,0,1,1,1
1,1,1,0,0,0,1,1,1,1,1,1,0,1,0,1,1,1,1
1,1,1,0,0,1,1,1,1,1,1,0,1,1,0,1,1,1,1
1,1,1,0,0,0,1,1,1,1,1,0,0,1,0,1,1,1,1
0,1,1,1,1,0,0,1,0,1,1,0,1,1,0,1,1,1,1
0,1,1,0,0,1,1,1,0,1,1,0,1,1,0,1,1,1,1
1,1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1
1,1,1,1,1,0,1,1,1,1,0,0,1,1,0,1,1,1,1
1,1,1,0,0,0,0,1,0,0,1,1,1,1,0,1,1,1,1
1,1,1,0,0,0,0,1,1,1,1,1,0,1,1,1,0,0,1
1,1,0,0,0,1,0,0,0,1,1,1,0,1,1,1,0,1,1
1,1,1,1,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0
0,0,1,1,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0
1,1,1,1,1,1,0,0,1,1,0,0,0,1,0,0,1,1,1
1,1,0,0,0,1,1,0,0,1,1,1,1,1,0,0,1,0,1
1,1,0,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,1
1,1,0,1,1,0,0,0,0,0,1,0,0,1,0,1,0,0,0
1,1,0,1,1,1,0,0,0,1,1,0,0,1,0,1,0,0,0
1,1,1,0,0,0,1,1,0,1,1,0,0,1,0,1,1,1,1
0,1,1,0,1,1,0,1,1,0,1,0,1,0,0,1,1,1,1
1,1,1,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,0
1,1,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0
1,1,1,0,0,0,1,0,1,0,1,0,0,1,1,0,0,1,0
1,1,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,0
1,1,1,1,0,0,0,1,1,1,0,0,0,1,1,1,0,1,1
1,1,1,1,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0
1,1,1,1,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0
1,1,1,1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0
1,1,1,1,0,0,0,0,1,1,1,0,1,1,0,0,0,1,1
1,1,1,1,0,0,0,1,1,0,1,0,0,1,1,0,0,1,1
1,1,1,1,0,0,0,1,0,1,0,1,1,0,1,0,0,1,1
1,1,1,1,0,0,0,1,0,1,0,0,0,1,1,0,0,1,0
1,1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0
1,1,1,1,0,0,1,0,0,0,1,0,1,0,1,0,0,1,0
1,1,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,1,0
1,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0
1,1,1,0,0,0,1,1,1,1,1,1,0,1,0,1,1,1,1
1,1,1,0,0,0,0,1,1,1,1,1,0,1,0,1,1,1,1
0,1,0,0,0,0,0,0,1,1,1,0,1,0,1,1,1,1,0
1,1,1,0,0,0,1,1,1,1,1,1,0,1,0,1,1,1,1
1,1,1,0,0,0,0,1,1,1,1,1,0,1,0,1,1,1,1
0,0,1,0,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1
1,1,1,0,0,1,1,0,1,1,1,0,0,1,1,0,0,1,1
0,1,1,1,1,0,1,1,1,0,1,0,0,1,0,0,1,1,1
1,1,1,0,0,0,1,1,1,0,1,1,1,1,0,1,1,1,1
1,1,1,0,0,0,1,1,1,0,1,0,0,1,0,1,1,1,1
1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,0,0,1,1
1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1
1,1,1,0,1,0,1,1,0,1,1,1,0,0,0,1,1,1,1
1,1,1,1,0,0,1,0,0,0,1,0,0,1,1,0,1,0,0
1,1,1,1,0,0,1,0,1,0,1,1,0,1,1,0,0,1,1
1,1,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0
1,1,1,1,0,0,1,0,0,0,1,0,0,0,1,1,1,1,1
1,1,1,1,0,0,1,1,0,1,0,0,1,0,1,0,1,1,1
1,1,1,1,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1
1,1,1,1,1,0,0,0,1,0,1,1,1,0,0,0,1,1,1
1,1,1,1,0,0,0,1,1,0,1,0,0,0,1,1,1,1,1
1,1,1,1,0,0,0,0,1,1,1,0,1,0,0,1,1,0,1
1,1,1,1,0,0,1,1,0,1,0,0,1,0,1,1,0,0,1
1,1,1,1,0,1,0,0,1,0,0,1,1,0,1,0,0,1,1
1,0,1,0,1,1,0,1,1,1,1,1,0,1,0,1,0,0,1
1,1,1,1,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1
1,1,0,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1
1,1,1,0,0,1,1,1,0,1,1,1,1,0,1,1,1,0,1
1,1,1,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0
1,1,1,1,1,0,0,0,1,0,1,0,1,0,0,1,0,1,1
0,1,1,1,1,0,1,1,1,0,0,1,1,0,1,1,1,0,1
0,1,0,0,0,0,0,0,0,1,1,0,1,1,0,0,1,1,0
0,1,1,1,1,0,1,1,1,0,1,0,1,1,1,0,1,1,1
1,1,0,0,0,0,0,1,0,1,0,0,1,1,0,1,1,1,0
0,0,1,1,1,0,1,1,0,0,0,0,1,1,0,0,1,1,0
1,1,0,0,0,1,0,1,1,1,0,0,1,1,0,1,1,1,1
1,1,1,0,0,1,0,1,0,0,1,0,1,1,1,1,1,1,1
1,1,1,0,0,1,1,0,1,0,0,1,1,1,0,1,1,1,1
1,1,0,1,1,1,1,1,0,1,1,0,1,0,1,1,1,1,1
1,1,1,0,0,0,0,1,0,0,0,1,0,1,0,1,1,1,0
1,1,1,0,1,0,1,0,1,0,0,1,1,0,1,1,1,1,1
1,1,0,0,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1
1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,0,1,1
0,0,0,0,0,1,0,0,1,1,0,0,1,0,0,1,1,1,0
1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,1,0,1
1,1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1
1,1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1
1,1,0,1,1,0,1,1,1,1,0,1,1,0,1,0,0,1,1
1,1,1,0,1,0,1,1,0,1,1,1,0,1,1,0,0,0,1
1,1,1,0,1,1,1,1,1,0,1,0,1,1,0,1,1,1,1
1,1,1,0,0,0,0,1,0,1,0,1,0,1,1,1,1,1,1
1,1,0,1,0,0,1,1,1,0,1,1,1,0,1,0,0,0,1
1,1,1,1,0,0,1,1,1,1,0,0,1,0,0,1,0,0,1
1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,1,1,1
1,1,1,0,0,1,1,1,1,1,0,1,1,1,0,1,1,1,1
1,1,1,0,1,0,0,1,1,1,1,1,0,1,1,1,1,1,1
1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1
1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1
1,1,1,0,0,0,0,1,1,1,0,1,0,1,1,0,0,1,1
1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,0,1,1
1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,1,0,1,1
1,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0
1,1,1,0,0,1,1,0,1,1,1,0,0,1,0,1,1,1,1
1,1,1,0,0,1,1,0,0,1,1,1,0,0,1,1,1,1,1
0,1,0,0,0,1,1,1,0,0,1,1,0,1,0,1,1,1,1
1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,1,1,0
0,0,1,0,0,1,1,1,1,0,1,1,1,0,0,1,1,1,1
1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,1,0
1,1,1,0,0,1,0,1,0,1,1,1,1,1,0,1,1,1,1
0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,1,1,1,0
1,1,1,0,0,1,1,1,0,0,1,1,1,0,1,1,1,1,1
0,0,1,1,1,0,1,1,1,0,1,0,0,1,0,0,1,0,0
1,1,1,1,1,0,0,1,1,1,1,0,1,0,0,1,1,1,1
1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1
1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1,1,1,1
1,1,1,0,1,1,1,1,1,1,0,1,0,1,1,1,1,1,1
1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1
1,1,1,0,1,1,0,1,1,0,1,1,0,1,1,1,1,1,1
1,1,0,1,1,1,1,0,1,1,1,1,0,1,1,0,1,1,1
1,1,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,1,0
1,1,1,1,1,0,0,1,1,1,1,0,0,1,0,0,1,1,1
1,1,0,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1
1,1,1,0,0,0,0,1,0,0,1,1,0,1,0,1,0,1,0
1,1,1,0,0,0,0,1,1,0,1,1,1,1,0,1,0,1,1
1,1,1,1,1,1,0,1,0,1,0,1,1,0,0,1,1,1,1
1,1,1,1,1,1,0,1,1,1,1,0,1,1,0,0,1,1,1
1,1,0,0,1,1,1,1,1,1,1,0,0,1,0,1,1,1,1
1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0
1,1,1,1,1,0,0,0,1,0,1,1,0,1,0,1,0,1,1
1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0
1,1,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1,0
1,1,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0
1,1,1,0,1,1,1,0,1,1,1,0,0,1,0,1,0,1,1
1,1,1,1,0,0,0,1,1,0,1,0,0,1,0,1,1,1,1
1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0
1,1,1,0,0,0,0,1,1,0,1,1,1,1,1,1,1,1,1
1,1,0,1,0,1,0,1,1,0,1,1,0,0,1,1,1,1,1
1,1,0,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,1
0,0,1,1,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0
0,0,0,1,0,1,0,0,0,1,1,1,1,0,1,1,1,0,0
0,0,0,1,1,0,1,0,0,1,1,1,0,1,1,1,0,1,1
1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1
1,1,0,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1
1,1,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1
1,1,0,0,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1
1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,0,1
1,1,1,1,1,0,1,1,0,1,1,1,0,1,1,1,0,1,1
1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,0,1,1
1,1,1,1,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1
1,0,1,1,0,0,1,1,0,1,1,1,1,0,1,0,1,0,1
1,1,0,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1
1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1
1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1
1,1,0,1,1,1,1,1,0,1,1,0,0,0,0,1,1,1,1
1,1,0,1,1,0,1,1,1,0,1,0,0,1,1,0,0,1,1
1,1,0,1,1,1,1,1,1,1,1,0,0,1,0,0,1,0,1
1,1,0,1,1,1,1,1,1,1,0,1,1,0,1,1,1,0,1
1,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1
1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1
1,0,0,1,1,0,1,0,1,1,1,0,0,0,1,1,0,1,1
1,1,1,1,0,0,0,1,1,0,1,0,1,1,0,1,0,1,1
1,0,0,1,0,1,0,0,1,0,1,0,1,1,1,0,1,1,1
1,1,1,0,0,1,0,1,1,0,1,0,1,0,1,1,0,1,1
1,1,1,1,0,1,0,1,0,1,0,0,1,1,1,0,0,1,1
1,1,1,1,0,0,0,1,1,0,0,0,1,1,0,0,1,1,1
1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,1,1,1,0
0,0,1,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0
1,1,0,1,0,0,1,1,0,1,1,0,0,1,1,0,0,1,1
1,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0
1,0,0,1,0,1,1,1,0,0,1,0,1,0,0,0,0,1,0
1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,0,1
1,1,0,1,0,1,1,1,1,1,0,0,0,1,1,1,1,0,1
1,1,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,1,0
0,0,1,0,1,0,1,1,1,0,0,1,0,1,0,1,1,0,0
1,1,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0
1,1,1,0,1,1,1,1,0,1,1,0,1,0,1,0,0,1,1
1,1,1,1,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0
1,1,0,0,1,1,0,1,0,1,1,0,0,1,0,1,1,0,1
0,0,1,1,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0
1,1,1,0,0,0,0,1,1,0,0,1,0,0,0,1,1,1,0
1,1,1,1,1,0,1,0,0,1,1,0,0,1,0,0,1,1,1
0,1,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0
1,1,0,0,1,0,1,0,1,1,1,0,0,1,0,0,1,0,0
1,1,1,0,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1
1,1,0,1,0,1,1,1,1,1,0,0,0,1,0,0,0,1,1
1,1,1,0,0,0,1,1,1,0,1,0,0,1,1,0,1,1,1
0,1,1,0,0,0,1,1,1,0,1,0,0,1,0,1,1,1,1
1,1,1,0,0,1,0,0,1,1,1,0,0,1,0,1,1,1,1
0,1,1,0,0,0,1,1,1,1,1,0,0,1,1,0,1,1,1
1,1,1,0,0,0,1,1,1,1,1,0,0,1,0,1,1,1,1
1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1
1,1,1,0,0,0,1,1,1,1,1,0,0,1,0,1,1,1,1
1,1,1,0,1,0,1,1,1,1,0,0,1,0,1,1,1,0,1
1,1,0,1,0,1,1,1,1,1,1,0,0,1,0,0,1,1,1
1,1,1,0,0,0,1,1,0,0,0,0,0,1,0,1,1,1,0
1,1,1,0,0,1,0,0,0,1,1,0,0,1,0,1,1,1,1
1,1,1,1,1,0,1,0,1,0,0,0,0,0,1,1,0,0,0
1,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,1,1
0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
0,1,1,0,0,1,1,1,1,0,1,0,0,1,0,1,1,1,1
0,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0
1,1,1,0,0,0,0,1,0,1,0,0,1,0,1,0,1,1,0
1,1,1,0,0,1,0,1,1,1,1,0,1,0,1,0,1,1,1
1,1,1,0,1,0,0,0,1,1,1,1,1,1,0,1,0,1,1
1,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1,1,0
1,1,0,1,0,1,1,1,1,1,1,1,0,1,0,1,0,1,1
1,1,0,0,1,1,0,0,1,1,0,0,0,1,0,1,1,1,1
1,1,1,1,0,0,0,1,0,1,1,1,0,1,0,1,1,1,1
1,1,1,0,0,0,1,1,1,1,1,1,0,1,0,1,1,1,1
1,1,1,1,0,0,1,0,0,1,1,0,0,1,0,1,1,1,1
1,1,1,0,1,0,1,1,1,0,1,0,1,1,1,1,1,1,1
0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0
1,1,0,0,0,1,0,1,1,1,0,1,1,1,0,1,0,1,1
1,1,1,0,0,1,0,0,0,0,1,1,0,1,0,1,1,1,1
1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,1,0
1,1,1,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1
1,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1
1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1
1,1,1,1,0,0,0,0,0,1,1,1,0,1,0,1,0,1,1
0,1,1,0,1,0,1,1,0,0,1,0,0,1,1,1,1,0,1
0,1,1,1,0,1,1,1,0,0,1,0,0,1,0,1,1,1,1
1,1,1,0,0,1,1,1,0,1,1,0,0,1,1,1,1,1,1
1,1,1,0,0,0,1,1,1,1,1,1,0,0,1,0,1,1,1
1,1,0,1,1,1,1,1,0,0,1,0,0,1,0,1,1,1,1
1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1
1,1,1,0,0,1,0,1,0,0,1,0,1,1,1,1,1,1,1
1,1,1,0,0,0,1,1,0,1,1,1,0,1,0,1,1,1,1
1,1,1,0,0,0,1,1,1,1,1,0,1,0,0,1,1,1,1
1,1,1,0,1,0,0,0,0,1,1,0,0,0,1,1,1,1,1
1,1,1,0,0,0,0,1,0,1,0,0,0,1,1,1,1,1,1
1,1,1,0,0,0,1,1,1,1,0,0,1,0,1,1,1,1,1
1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,0,0,1
1,1,1,0,0,0,0,1,1,0,1,1,1,0,1,1,1,1,1
1,1,1,0,0,0,1,1,1,1,0,0,1,0,1,1,1,1,1
1,1,1,0,0,0,0,1,1,1,1,0,1,1,0,1,1,1,1
1,0,0,0,1,1,0,1,1,0,0,0,1,1,1,1,1,1,1
1,1,0,0,0,0,0,1,1,1,0,1,0,1,1,1,0,0,0
1,1,1,0,0,1,1,1,1,0,0,1,0,1,0,1,1,1,1
0,1,1,0,0,1,1,1,0,1,1,0,1,1,1,1,1,1,1
1,1,1,0,0,0,1,1,1,1,1,0,0,1,0,1,1,1,1
1,1,1,0,0,0,0,1,0,1,1,1,0,1,0,1,1,1,1
1,1,1,0,0,0,0,1,0,1,1,1,0,1,0,1,1,1,1
1,1,0,0,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0
1,1,1,1,1,1,0,1,1,1,0,0,0,0,1,0,1,1,1
1,1,0,1,1,1,0,0,0,1,1,1,0,1,0,1,0,0,1
1,1,1,0,0,0,1,0,1,1,1,1,0,0,0,1,1,1,1
1,1,0,0,0,0,0,1,0,1,1,0,1,0,1,1,0,1,0
0,0,1,0,1,0,0,1,0,0,1,0,0,1,0,1,0,1,0
1,1,1,1,0,0,0,0,0,1,1,0,0,0,1,1,1,1,1
1,1,0,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1
1,1,1,0,0,1,1,1,0,0,0,1,1,0,1,1,1,0,1
1,1,1,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0
1,1,1,1,1,0,0,0,1,0,1,0,1,0,1,0,1,1,1
1,1,1,1,0,1,0,0,0,1,1,1,1,0,0,1,1,1,1
1,1,0,0,1,1,0,0,1,1,0,0,0,1,0,1,1,1,1
1,1,1,0,0,1,1,0,0,0,1,0,0,1,0,1,1,1,1
0,1,1,1,0,0,1,1,0,1,0,0,1,1,0,1,1,1,1
1,1,0,1,1,0,0,1,1,0,1,0,0,0,1,0,0,1,0
1,1,0,1,0,0,1,1,0,0,1,0,1,0,0,1,1,1,1
1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,1,1,1,0
1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0
0,1,1,0,0,0,0,1,1,0,1,0,0,1,0,1,0,1,0
1,1,0,0,0,0,1,0,1,1,1,0,1,0,0,1,0,1,0
1,1,0,0,0,1,0,0,0,1,1,0,1,1,0,1,0,1,0
1,1,0,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1
1,1,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,1,0
1,1,0,0,1,0,1,0,1,0,1,1,1,1,1,1,1,1,1
0,0,1,0,1,0,1,0,0,1,1,1,1,1,1,0,0,0,0
1,1,0,0,0,1,0,0,0,1,1,1,1,1,0,0,0,1,0
0,1,0,1,1,0,1,0,1,0,1,0,0,1,0,0,1,1,0
1,1,1,0,0,0,0,0,1,1,1,0,0,1,1,1,1,0,1
0,0,1,1,1,0,1,1,1,0,0,1,0,0,0,1,1,0,0
1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,1
0,1,0,1,1,0,1,0,0,1,0,1,0,0,1,0,1,1,0
1,1,0,1,1,0,1,1,0,0,0,0,1,0,1,1,0,1,1
